"","UniProt","median.K"
"536","Q9UBR2",0.3
"537","Q9UBX1",6039798.01575
"538","Q9UBY5",0.5215
"539","Q9UGM5",0.223
"540","Q9UGR2",0.0875
"541","Q9UJJ9",0.24725
"542","Q9UJU5",0.11
"543","Q9UKP4",0.167
"544","Q9ULI3",0.111
"545","Q9ULJ7",0.117
"546","Q9ULZ9",0.122
"547","Q9UN70",0.244
"548","Q9UNN8",1.46525
"549","Q9UNW1",0.221
"550","Q9UQ13",1.098
"551","Q9UQP3",0.141
"552","Q9Y490",0.058
"553","Q9Y4D7",0.22625
"554","Q9Y4K3",0.095
"555","Q9Y5C1",0.53675
"556","Q9Y5Y7",0.078
"557","Q9Y5Z4",0.045
"558","Q9Y646",0.39375
"559","Q9Y6R7",0.11625
"560","Q9Y6Z7",0.3905
