ID	t	A0	m0	m1	m2	m3	m4	m5	notFoundBySE
29	1.00000	0.577264	0.577264	0.301294	0.098458	0.022984	0.000000	0.000000	
29	13.0000	0.498708	0.498708	0.337104	0.132081	0.031130	0.000977	0.000000	
29	14.0000	0.497763	0.497763	0.341051	0.123199	0.031946	0.006040	0.000000	
30	0.00000	0.221158	0.221158	0.290914	0.233972	0.142220	0.072713	0.028303	
30	1.00000	0.224383	0.224383	0.300938	0.225848	0.142291	0.067765	0.029448	
30	2.00000	0.215205	0.215205	0.298528	0.225098	0.145263	0.072031	0.032242	
30	3.00000	0.198095	0.198095	0.289342	0.239360	0.150828	0.077670	0.032450	
30	4.00000	0.186502	0.186502	0.278808	0.253908	0.154693	0.079200	0.033559	
30	5.00000	0.179441	0.179441	0.285588	0.245038	0.158099	0.084317	0.033449	
30	6.00000	0.170062	0.170062	0.254848	0.249493	0.170786	0.092963	0.044160	
30	7.00000	0.151495	0.151495	0.258741	0.244148	0.172384	0.100418	0.046708	
30	8.00000	0.150000	0.150000	0.247561	0.248298	0.174057	0.101159	0.048258	
30	9.00000	0.139125	0.139125	0.244170	0.248943	0.174910	0.107075	0.052335	
30	10.0000	0.137755	0.137755	0.246881	0.239664	0.178460	0.107029	0.053539	
30	11.0000	0.124749	0.124749	0.248726	0.238231	0.207269	0.108651	0.053705	
30	12.0000	0.127329	0.127329	0.230517	0.248965	0.183636	0.117569	0.057108	
30	13.0000	0.116804	0.116804	0.226474	0.247027	0.187104	0.121540	0.063564	
30	14.0000	0.114953	0.114953	0.236728	0.240409	0.184012	0.116102	0.062429	
31	0.00000	0.381264	0.381264	0.354281	0.179281	0.067664	0.017509	0.000000	
31	1.00000	0.370310	0.370310	0.359069	0.184406	0.060850	0.019607	0.005759	
31	2.00000	0.373720	0.373720	0.340877	0.181018	0.065463	0.019654	0.018995	
31	3.00000	0.364313	0.364313	0.351458	0.181855	0.070639	0.021284	0.010451	
31	4.00000	0.341367	0.341367	0.359388	0.195018	0.078321	0.023178	0.002728	
31	5.00000	0.342527	0.342527	0.345097	0.183791	0.080765	0.025875	0.021558	
31	7.00000	0.303985	0.303985	0.355903	0.203650	0.089197	0.030153	0.017112	
31	8.00000	0.307263	0.307263	0.350555	0.209883	0.092411	0.031202	0.008687	
31	9.00000	0.291019	0.291019	0.351152	0.222289	0.093659	0.030927	0.010953	
31	10.0000	0.290809	0.290809	0.342936	0.219531	0.101201	0.034763	0.010759	
31	11.0000	0.288176	0.288176	0.339161	0.218693	0.104192	0.036592	0.013187	
31	12.0000	0.279227	0.279227	0.349191	0.223855	0.101219	0.036354	0.010154	
