"ID"	"t"	"A0"
78	"11"	0.299624
78	"12"	0.219626
78	"13"	0.238406
78	"14"	0.219347
79	"0"	0.407972
79	"1"	0.427199
79	"2"	0.414641
79	"3"	0.384055
79	"4"	0.489069
79	"5"	0.376771
79	"6"	0.349649
79	"7"	0.348473
79	"8"	0.477433
79	"9"	0.327825
79	"10"	0.327948
79	"11"	0.318333
79	"12"	0.30677
79	"13"	0.294002
79	"14"	0.297179
81	"0"	0.472938
81	"1"	0.348185
81	"2"	0.346865
81	"3"	0.338363
81	"4"	0.306987
81	"5"	0.330238
81	"6"	0.344102
81	"7"	0.296609
81	"8"	0.203576
81	"9"	0.309952
81	"10"	0.296182
81	"11"	0.276531
81	"12"	0.268991
81	"13"	0.165447
81	"14"	0.263938
82	"0"	0.427566
82	"1"	0.426667
82	"2"	0.429531
82	"3"	0.399161
82	"4"	0.357569
82	"5"	0.324999
82	"6"	0.371913
82	"7"	0.376787
82	"8"	0.359488
82	"9"	0.331396
82	"10"	0.337564
82	"11"	0.29766
82	"12"	0.332129
82	"13"	0.318118
82	"14"	0.325362
84	"0"	0.569131
84	"1"	0.341216
84	"2"	0.557309
84	"3"	0.5467
84	"4"	0.521225
84	"5"	0.497555
84	"6"	0.487007
84	"7"	0.452356
84	"8"	0.446965
84	"9"	0.428232
84	"10"	0.417963
84	"11"	0.400611
84	"12"	0.406195
84	"13"	0.380817
84	"14"	0.393341
85	"0"	0.433668
85	"1"	0.387277
85	"2"	0.239157
85	"3"	0.514191
85	"4"	0.240856
85	"5"	0.520046
85	"6"	0.4811
85	"7"	0.38475
85	"8"	0.346935
85	"9"	0.266729
85	"10"	0.331966
85	"11"	0.316533
85	"12"	0.323473
85	"13"	0.288555
85	"14"	0.311212
86	"0"	0.665338
86	"1"	0.601167
86	"2"	0.470765
86	"3"	0.491175
86	"4"	0.552
86	"5"	0.548016
86	"6"	0.486222
86	"7"	0.455324
86	"8"	0.498464
86	"9"	0.476792
86	"10"	0.474689
86	"11"	0.573191
86	"12"	0.490167
86	"13"	0.469744
86	"14"	0.412539
87	"0"	0.305354
87	"1"	0.551195
87	"2"	0.562972
87	"3"	0.670321
87	"4"	0.467482
87	"5"	0.616862
87	"6"	0.462231
87	"7"	0.510326
87	"8"	0.383348
87	"9"	0.355178
87	"10"	0.363261
87	"11"	0.372765
87	"12"	0.360224
87	"13"	0.348898
87	"14"	0.198691
89	"0"	0.438088
89	"1"	0.445265
89	"2"	0.450864
89	"3"	0.50756
89	"4"	0.497223
89	"5"	0.499214
89	"6"	0.46815
89	"7"	0.406948
89	"8"	0.49752
89	"9"	0.473112
89	"10"	0.486231
89	"11"	0.440111
89	"12"	0.535686
89	"13"	0.427435
89	"14"	0.421302
93	"0"	0.558837
93	"1"	0.537372
93	"2"	0.493556
93	"3"	0.478681
93	"4"	0.445324
93	"5"	0.420116
93	"6"	0.416797
93	"7"	0.402039
93	"8"	0.385467
93	"9"	0.384767
93	"10"	0.383145
93	"11"	0.368334
93	"12"	0.358035
93	"13"	0.359529
93	"14"	0.35803
94	"0"	0.460638
94	"1"	0.580476
94	"2"	0.482891
94	"3"	0.580701
94	"4"	0.511393
94	"5"	0.470839
94	"6"	0.47101
94	"7"	0.430021
94	"8"	0.43217
94	"9"	0.317707
94	"10"	0.308903
94	"11"	0.381901
94	"12"	0.460121
94	"13"	0.384164
94	"14"	0.440269
97	"0"	0.496854
97	"1"	0.429922
